SiteCode,Class,Region_detail,Region,Note
MSSE9557_V,P,SE,East,
MTAW9190,U,AW,West,"REJECT. Loggers have a gap from late March to Late June, which is the rainiest period. Unable to distinguish between I and E. Likely reject, referred to PDT"
MTAW9191,E,AW,West,Lots of blips but all fairly low
MTAW9192,E,AW,West,Q&D interpretation of logger data
MTNB14,E,GP_N,GP,
MTNB15,E,GP_N,GP,
MTNB19,I,GP_N,GP,
MTNB22,P,GP_N,GP,
MTNB28,I,GP_N,GP,
MTNB29,P,GP_N,GP,
MTNB3,U,GP_N,GP,
MTNB33,E,GP_N,GP,
MTNB4,I,GP_N,GP,
MTNB42,P,GP_N,GP,
MTNB45,I,GP_N,GP,
MTNB5,I,GP_N,GP,
MTNB8,I,GP_N,GP,
MTNV1001,E,GP_N,GP,
MTNV1018,P,GP_N,GP,
MTNV1035,I,GP_N,GP,
MTNV1044,U,GP_N,GP,
MTNV1050,P,GP_N,GP,
MTNV2975,E,GP_N,GP,
MTNV2976,E,GP_N,GP,
MTNV990,E,GP_N,GP,
MTWM1553,P,WM,West,Some brief dry readings are likely erroneous due to cutoff being too high
MTWM1563,I,WM,West,
MTWM1569,I,WM,West,
MTWM1711,I,WM,West,
MTWM1726,I,WM,West,
MTWM1729,P,WM,West,Large chunk missing in April
MTWM1736,P,WM,West,
MTWM1753,P,WM,West,
MTWM1785,I,WM,West,
MTWM1813,P,WM,West,
MTWM1815,I,WM,West,
MTWM1835,I,WM,West,
MTWM1836,I,WM,West,Q&D review of logger data
MTWM1840,I,WM,West,
MTWM1904,E,WM,West,
MTWM1905,E,WM,West,
MTWM1906,P,WM,West,
MTWM1907,I,WM,West,
MTWM1908,E,WM,West,
MTWM1910,E,WM,West,
MTWM9167,E,WM,West,Q&D review of logger data
MTWM9168,E,WM,West,Q&D review of logger data
MTWM9180,E,WM,West,Q&D review of logger data
MTWM9181,E,WM,West,Q&D interpretation of logger data. But review APT tool for 6/19/2022
MTWM9182,E,WM,West,Q&D interpretation of logger data
MTWM9183,E,WM,West,Q&D interpretation of logger data
NCSE9061_B,P,SE,East,
NCSE9065_B,I,SE,East,
NCSE9069_B,E,SE,East,
NCSE9077_B,P,SE,East,
NCSE9079_B,E,SE,East,
NCSE9086_B,P,SE,East,
NCSE9087_B,P,SE,East,
NDNV2938,I,GP_N,GP,
NDNV2941,I,GP_N,GP,
NDNV3351,E,GP_N,GP,
NDNV3352,E,GP_N,GP,
NDUB123,U,GP_U,GP,
NDUB124,P,GP_U,GP,
NDUB125,P,GP_U,GP,
NDUB13,I,GP_U,GP,
NDUB5,I,GP_U,GP,
NDUV3319,E,GP_U,GP,
NDUV3320,I,GP_U,GP,
NDUV3321,I,GP_U,GP,
NDUV3323,P,GP_U,GP,
NDUV3331,U,GP_U,GP,
NDUV3333,I,GP_U,GP,
NECB133,E,GP_C,GP,
NECB134,E,GP_C,GP,
NECB135,U,GP_C,GP,
NECB31,P,GP_C,GP,
NECV1198,P,GP_C,GP,
NECV1211,P,GP_C,GP,
NECV1249,I,GP_C,GP,
NECV1274,P,GP_C,GP,
NENV1222,P,GP_N,GP,
NEUB114,I,GP_U,GP,
NEUB116,I,GP_U,GP,
NEUB117,I,GP_U,GP,
NHNE8900_V,I,NE,East,
NHNE8903_V,I,NE,East,
NHNE8905_V,I,NE,East,
NHNE8906_V,U,NE,East,
NHNE9034_BO,P,NE,East,
NHNE9035_BO,P,NE,East,
NHNE9627_V,I,NE,East,
NHNE9628_V,I,NE,East,
NHNE9674_V,E,NE,East,
NHNE9675_V,I,NE,East,
NHNE9676_V,P,NE,East,
NMAW1256,P,AW,West,"Review more closely. Likely P, but field observations don't always match logger readings. Lots of ringing"
NMAW1261,P,AW,West,
NMAW1266,P,AW,West,
NMAW1273,I,AW,West,
NMAW1274,E,AW,West,
NMAW1278,P,AW,West,
NMAW1279,P,AW,West,
NMAW1284,I,AW,West,
NMAW1291,P,AW,West,
NMAW1292,E,AW,West,
NMAW1293,I,AW,West,
NMAW1294,E,AW,West,
NMAW1295,E,AW,West,
NMAW1296,E,AW,West,
NMAW1298,P,AW,West,Logger record short but gage confirms status
NMAW1299,I,AW,West,
NMAW9036,P,AW,West,"Despite L1 giving many dry readings, L2 is consistently wet. Field observations do not corroborate with dry L1 readings"
NMAW9037,E,AW,West,Q&D review of logger data
NMAW9043,E,AW,West,Q&D review of logger data
NMAW9044,I,AW,West,Q&D review of logger data
NMAW9045,U,AW,West,Can't tell from logger or photos. Reject.
NMCB33,I,GP_C,GP,
NMCB34,I,GP_C,GP,
NMCB35,P,GP_C,GP,
NMCV11,P,GP_C,GP,
NMCV45,E,GP_C,GP,
NMCV46,E,GP_C,GP,
NMSB118,I,GP_S,GP,
NMSB2,E,GP_S,GP,
NMSB3,P,GP_S,GP,
NMSB4,E,GP_S,GP,
NMSV32,I,GP_S,GP,
NMSV65,E,GP_S,GP,
NMWM1260,P,WM,West,"Loggers show erroneous dry periods, but USGS gage confirms flow status"
NMWM1300,I,WM,West,
NMWM1301,I,WM,West,
NMWM1302,P,WM,West,
NMWM1303,P,WM,West,
NMWM1305,P,WM,West,"Loggers show erroneous dry periods, but USGS gage confirms flow status"
NMWM1311,P,WM,West,
NMWM1314,P,WM,West,
NMWM1316,P,WM,West,
NMWM1318,E,WM,West,
NMWM1319,E,WM,West,
NMWM1320,E,WM,West,
NMWM1328,P,WM,West,Q&D review of logger data
NMWM1332,P,WM,West,Short record but USGS gage confirms status
NMWM1333,I,WM,West,
NMWM1335,I,WM,West,
NMWM1856,P,WM,West,
NMWM1857,P,WM,West,
NMWM9051,I,WM,West,Q&D review of logger data
NMWM9054,E,WM,West,Q&D review of logger data
NMWM9055,E,WM,West,Q&D review of logger data
NMWM9063,E,WM,West,Q&D review of logger data
NVAW1179,P,AW,West,"L1 shows drying, but L2 does not, nor does USGS gage"
NVAW1182,I,AW,West,Q&D review of logger and gage data
NVAW1187,I,AW,West,"Review of gage data, which is much longer than logger data (which suggests E)"
NVAW1190,I,AW,West,
NVAW1191,I,AW,West,
NVAW1193,P,AW,West,
NVAW1196,P,AW,West,Loggers show some erroneous drying but gage and field observations show wet conditions
NVAW1197,I,AW,West,Q&D inspection of logger data
NVAW1200,I,AW,West,"Logger has many short, clustered flashy flows, but gage shows clearly intermittent"
NVAW1201,P,AW,West,Q&D inspection of logger data
NVAW1204,P,AW,West,
NVAW1205,P,AW,West,
NVAW1206,I,AW,West,
NVAW1207,P,AW,West,
NVAW1208,P,AW,West,Likely P but end of record gets hard to interpret. USGS gage says P
NVAW1210,I,AW,West,
NVAW1211,P,AW,West,
NVAW1212,I,AW,West,
NVAW1219,P,AW,West,Q&D inspection of logger data
NVAW1231,E,AW,West,
NVAW1234,E,AW,West,
NVAW1236,P,AW,West,
NVAW1237,I,AW,West,
