"sitecode","Class","Region_detail","Region","Note","lat","long"
"AZAW0036","P","AW","West","Q&D Interpretation of logger data",34.31449,-109.36232
"AZAW0041","E","AW","West","",34.22962352,-113.61231283
"AZAW0042","E","AW","West","",34.21059966,-113.46347932
"AZAW0044","I","AW","West","",34.13337533,-111.77260154
"AZAW0046","P","AW","West","",34.0899352,-110.87357156
"AZAW0050","I","AW","West","",33.97519212,-112.09609984
"AZAW0051","E","AW","West","",33.96906,-112.72501
"AZAW0053","E","AW","West","",33.88888711,-111.21516113
"AZAW0055","I","AW","West","",33.88502,-112.66206
"AZAW0060","I","AW","West","Q&D Interpretation of logger data",33.79807929,-110.96718045
"AZAW0065","E","AW","West","",33.643,-112.72083
"AZAW0066","E","AW","West","",33.63311297,-111.44496941
"AZAW0070","E","AW","West","Q&D review of logger data",34.34473947,-112.5993826
"AZAW0072","E","AW","West","Q&D review of logger data",33.37551,-112.73676
"AZAW0074","I","AW","West","Q&D review of logger data",33.98091,-112.73013
"AZAW0076","I","AW","West","Q&D review of logger data",33.93182,-112.69567
"AZAW0081","P","AW","West","",32.35115001,-111.09618978
"AZAW0082","E","AW","West","",32.33531247,-111.04284619
"AZAW0084","I","AW","West","",32.3148914,-110.81101482
"AZAW0085","E","AW","West","",32.30112209,-111.01019804
"AZAW0086","E","AW","West","",32.2708441,-110.91656272
"AZAW0090","I","AW","West","",32.13029607,-110.62796304
"AZAW0099","E","AW","West","",31.83719773,-110.56918757
"AZAW0103","P","AW","West","",31.62549419,-110.17426719
"AZAW0105","P","AW","West","",31.55342652,-110.14001271
"AZAW9029","E","AW","West","Q&D Interpretation of logger data",34.52324344,-110.9951933
"AZAW9030","E","AW","West","Q&D Interpretation of logger data. 2 days of  flow in late summer of 2022",34.52348363,-110.99534966
"AZAW9031","E","AW","West","Q&D Interpretation of logger data",34.52525352,-110.98155424
"AZAW9032","I","AW","West","Q&D Interpretation of logger data",34.03552954,-109.18479429
"AZWM0113","I","WM","West","",35.14608424,-112.06030516
"AZWM0114","I","WM","West","",35.05658448,-111.49059421
"AZWM0115","I","WM","West","",34.72910779,-111.09918456
"AZWM0116","I","WM","West","",34.51771495,-110.98628007
"AZWM0118","I","WM","West","",34.43714725,-111.03649892
"AZWM0119","P","WM","West","",34.41131886,-111.37383804
"AZWM0120","P","WM","West","",34.17725,-109.986
"AZWM0121","I","WM","West","",34.03009529,-109.18624114
"AZWM0122","P","WM","West","",34.01765497,-109.45695863
"AZWM0123","I","WM","West","",33.94533644,-109.15486734
"AZWM0124","P","WM","West","",33.82242695,-109.81491127
"AZWM1588","E","WM","West","",34.15643723,-109.88016215
"AZWM1589","E","WM","West","Q&D review of logger data, plus review by PDT",34.38932756,-110.49341785
"AZWM1590","E","WM","West","",34.43167093,-110.59938173
"AZWM1591","E","WM","West","",34.43142808,-110.59446012
"AZWM1834","I","WM","West","Q&D Interpretation of logger data and field observations of drying",33.74760989,-109.21062355
"AZWM1842","E","WM","West","",35.26909726,-111.65652066
"AZWM1843","E","WM","West","",35.25356628,-111.62425515
"AZWM1847","E","WM","West","Q&D Interpretation of logger data",35.16721533,-111.67105258
"AZWM1848","E","WM","West","",35.22347,-111.624023
"AZWM1850","I","WM","West","Q&D Interpretation of logger data and field observations of drying",35.19568457,-111.59686753
"AZWM1853","P","WM","West","",34.05561173,-109.40117084
"AZWM1854","I","WM","West","",34.05757822,-109.29655922
"AZWM1855","I","WM","West","",33.67497497,-109.27025347
"AZWM1866","E","WM","West","Q&D review of logger data. Longest wet is 35 days (borderline I)",35.06459827,-111.73360472
"AZWM1867","E","WM","West","",35.05902365,-111.71665248
"CAAW0242","P","AW","West","",36.7053813,-121.70546141
"CAAW0243","E","AW","West","Long term gage suggests ephemeral, even though study period was much wetter",36.65352412,-120.63176329
"CAAW0244","I","AW","West","",36.62992705,-121.67462819
"CAAW0247","P","AW","West","",36.50924205,-121.76616453
"CAAW0249","P","AW","West","",36.50947403,-121.76686043
"CAAW0260","P","AW","West","Q&D review of gage data",35.80487845,-116.189207
"CAAW0265","I","AW","West","Q&D review of gage data; logger data unavailable",35.62788569,-120.68434
"CAAW0266","E","AW","West","Q&D Review of logger data",35.60076299,-116.35346582
"CAAW0270","P","AW","West","Q&D review of gage data",35.23783362,-120.47335857
"CAAW0281","P","AW","West","",34.69267,-118.7919
"CAAW0332","I","AW","West","",34.16635091,-116.57285593
"CAAW0354","I","AW","West","",34.00754,-116.62183
"CAAW0361","E","AW","West","Q&D review of logger data",33.90218808,-115.21766547
